"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"459","@walkertooop @bodofficia @silva_omo_ola @ibra_bishar09 @blackwhalleson @ChampionsLeague Wo enough of the arguement una no dey accept truth",FALSE,0,"walkertooop",2023-04-28 09:06:51,FALSE,"1651874675402711040","1651875615702695937","1485128509337096196","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Brandon81661756",0,FALSE,FALSE,NA,NA
"460","RT @CFC_Janty: 37 Year old Cristiano Ronaldo vs Tottenham.

This is how it’s done.

 https://t.co/39stX76Uxi",FALSE,0,NA,2023-04-28 09:06:41,FALSE,NA,"1651875573579366400",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ola_kush1804",225,TRUE,FALSE,NA,NA
"461","@iampremkurien @Sparta_RaGa @MrSinha_ Converted <U+0001F437> spotted!
Mr Rice Bag, thank you for raising the biggest national… https://t.co/NZqWxlaDTd",FALSE,1,"iampremkurien",2023-04-28 09:06:33,TRUE,"1651864978255933440","1651875536866770944","3912269952","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AddHumourToLife",0,FALSE,FALSE,NA,NA
"462","Someone on my WhatsApp is posting bridal shower video with “thank you girls for the surprise”<U+0001F644><U+0001F644><U+0001F644>
If you don’t gerro… https://t.co/7urE7Ngfhl",FALSE,0,NA,2023-04-28 09:06:32,TRUE,NA,"1651875536510021633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","asake_ola",0,FALSE,FALSE,NA,NA
"463","RT @PIDOMNIGERIA: Imagine twitter threatening me, not to be posting evidence again. That this is my final warning. Any more posting, they w…",FALSE,0,NA,2023-04-28 09:06:31,FALSE,NA,"1651875528884776960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_lekhon",1205,TRUE,FALSE,NA,NA
"464","RT @tititeklu: A coalition of Oromia Special Forces (OSF) and Oromo Liberation Army (OLA) killed more than 10,000 Amhara civilians and near…",FALSE,0,NA,2023-04-28 09:06:26,FALSE,NA,"1651875507753869312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HabteEsh",22,TRUE,FALSE,NA,NA
"465","@Ola_Crrypt Joining",FALSE,1,"Ola_Crrypt",2023-04-28 09:06:19,FALSE,"1651874340693057536","1651875481480732674","1506909333740826628","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JabdulMedia",0,FALSE,FALSE,NA,NA
"466","@B_Adegbuyi @ekititrends @Ekitiupdate @EkitiWakeUp @RanchPrat @KAAA_Official @Agritours_Kenya @AssociationAwak… https://t.co/WrWFtecSLW",FALSE,0,"B_Adegbuyi",2023-04-28 09:06:18,TRUE,"1651867005035618305","1651875476414054400","300367627","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AfricanGrowers",0,FALSE,FALSE,NA,NA
"467","RT @_eVIPmagazine: FUJI MUSIC: it's origin and impact on Afro beats <U+0001FA98>

WATCH HERE <U+0001F447>

https://t.co/acUZNA695r",FALSE,0,NA,2023-04-28 09:05:52,FALSE,NA,"1651875364887490564",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",102,TRUE,FALSE,NA,NA
"468","@ola_107 Should have gone to los blancos",FALSE,0,"ola_107",2023-04-28 09:05:47,FALSE,"1651872914931695616","1651875345316839425","845962094","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yurng_god",0,FALSE,FALSE,NA,NA
"469","RT @Ingswayszn: The only channel twitter guys are hiding<U+0001F602><U+0001F90C> Too much boom <U+0001F92F> 

Join if its not full<U+0001F91D>

https://t.co/pDnEU1Mw6S

ALL GAMES ARE…",FALSE,0,NA,2023-04-28 09:05:44,FALSE,NA,"1651875335275700224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",260,TRUE,FALSE,NA,NA
"470","RT @HotgirllTayo: Some of you don’t even realize how you light up rooms and inspire people just by being you. You’re magnetic and special.<U+0001FAF6><U+0001F3FE>",FALSE,0,NA,2023-04-28 09:05:30,FALSE,NA,"1651875274575822850",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",86,TRUE,FALSE,NA,NA
